Component,Subtotal (Bulk Parts Cost) ,Example Sourcing Link,
,,,
I/O ,,,
Raspberry Pi,$53.00 ,https://www.mouser.com/ProductDetail/Raspberry-Pi/RPI4-MODBP-2GB-BULK?qs=sGAEpiMZZMspCjQQiuQ1fFuhMF5SnQS%252Ba2qMvWLE7K2IHh0t%252BecCsw%3D%3D,
USB-C Charger/cable,$9.88 ,https://www.mouser.com/ProductDetail/Seeed-Studio/106990291?qs=sGAEpiMZZMtyU1cDF2RqUIiI0Dr66jYXGV7bLfwtXvw%3D,
Micro SD Card,$8.29 ,https://www.amazon.com/dp/B073JWXGNT/ref=twister_B07B3MFBHY?_encoding=UTF8&th=1,
"7"" Display",$249.18 ,https://lilliputdirect.com/lilliput-779gl-capacitive-touchscreen-hdmi-monitor?search=779gl,
Screen Mount,$6.00 ,https://lilliputdirect.com/lilliput-monitor-accessories/mounting-brackets-stands-and-arms/lilliput-monitor-stand,
HDMI for Display,$19.59 ,https://www.mouser.com/ProductDetail/molex/68786-0001/?qs=ASaot9jrY6HVNv%2F8Wfc2rQ%3D%3D&countrycode=US&currencycode=USD,
Mini USB for Display,$5.49 ,https://www.mouser.com/ProductDetail/matrix-orbital/extmusb3ft/?qs=4ybA1OVEHcjRr1VgZWmnlw%3D%3D&countrycode=US&currencycode=USD,
Cable grommet,$10.08 ,https://www.mcmaster.com/9307K61/,
Cable P-clip,$7.00 ,https://www.mcmaster.com/3225T63/,
Keyboard,$49.99 ,https://m.cdw.com/product/adesso-easy-touch-mini-trackball-keyboard/1839486,
,$8.15 ,https://www.grainger.com/product/1FD82?gclid=Cj0KCQjw1qL6BRCmARIsADV9JtZk59QIAYAwMJvQFD1dzPK-rSkWwVBCeo8SBGndpEHDpp2NXDWsr9kaAo-MEALw_wcB&gucid=N:N:FPL:Free:GGL:CSM-1946:tew63h3:20501231&ef_id=Cj0KCQjw1qL6BRCmARIsADV9JtZk59QIAYAwMJvQFD1dzPK-rSkWwVBCeo8SBGndpEHDpp2NXDWsr9kaAo-MEALw_wcB:G:s&s_kwcid=AL!2966!3!264922886802!!!g!439460816581!&gucid=N:N:PS:Paid:GGL:CSM-2293:FAGP9P:20500731,
Power strip,$3.63 ,https://www.parts-express.com/parts-express-3-outlet-strip-with-3-ft-cord-ul-black--125-406?gclid=EAIaIQobChMImKulw4PM6wIVRymzAB1bcwgfEAQYAyABEgLhBPD_BwE,
,,Compute Cost,$419 
,,,
Airway Components,,,
,$10.00 ,www.mcmaster.com/2633N11/,
"Oxygen DISS to 3/8"" NPT Adapter",,,
Inlet manifold ,$24.56 ,https://www.mcmaster.com/1023N15/,
"1/4"" NPT Connector (male/male)",$3.89 ,https://www.mcmaster.com/1455N133/,
Teflon tape ,$2.62 ,https://www.mcmaster.com/6802K12/,
"Manifold plug 1/4"" NPT",$4.50 ,https://www.mcmaster.com/1725K13/,
Hex nuts,$3.77 ,https://www.mcmaster.com/91841A195/,
Manifold washers,$10.16 ,https://www.mcmaster.com/92217A440/,
Fixed pressure regulator,$47.94 ,https://www.mcmaster.com/1777K2,
"Push-to-connect: 1/4"" NPT",$10.96 ,https://www.mcmaster.com/5225K715/,
Pneumatic Tubing ,$2.13 ,https://www.mcmaster.com/50315K71,
"Push-to-connect: 1/8"" BSPT",$10.76 ,https://www.mcmaster.com/5225K305/,
Insp proportional valve,$107.10 ,https://www.ocpneumatics.com/smc-pvq31-5g-23-01n-h-valve-proportional-pvq-proportional-valve/,
"Push-to-connect: Inline T-adapter to 1/4"" NPT",$7.58 ,https://www.mcmaster.com/5225K806/,
"1/4"" NPT Connector (female/female)",$9.84 ,https://www.mcmaster.com/4589K58/,
Pressure release valve,$19.89 ,https://www.mcmaster.com/4277T52,
Oxygen sensor,$59.00 ,https://www.sensoronics.com/products/ss-12a-replaces-teledyne-r22-msa-472062,
Emergency breathing (check) valve,$1.05 ,https://serfinitymedical.com/products/teleflex-medical-one-way-valve-teleflex-medical-1665,
DAR filters,$3.44 ,https://www.bettymills.com/dar-electrostatic-filter-large-350u5865?utm_source=cpc-strat&utm_medium=cpc&utm_campaign=parts&utm_keyword=MON58653900&utm_content=Medical&gclid=Cj0KCQjwsYb0BRCOARIsAHbLPhFDvasl2T-pp983Gj755_cJPpx-yW1j-qtVVfjvdeKrHvaog9WXQzAaAtrJEALw_wcB,
Adult Respiratory Circuit w Humidifier Limb,$13.00 ,Circuit: https://orsupply.com/product/1505,
,$0.00 ,,
Gas sampling line,$5.01 ,https://heymedsupply.com/gas-sampling-line-mckesson-16-gsl-each-1/?gclid=CjwKCAjw95D0BRBFEiwAcO1KDNKq_RaPem1c2NjJTQ1T2bLXusnNQXshtMCSO_h0_i7tSfO_Mrw1NRoCkB8QAvD_BwE,
Luer lock connector,$20.50 ,https://www.grainger.com/product/36T564?gclid=EAIaIQobChMI59a98omX6wIVgwiICR3BlQrHEAQYCiABEgJ5WPD_BwE&cm_mmc=PPC:+Google+PLA&ef_id=EAIaIQobChMI59a98omX6wIVgwiICR3BlQrHEAQYCiABEgJ5WPD_BwE:G:s&s_kwcid=AL!2966!3!281698275999!!!g!470577457359!,
Luer lock filter,,https://catalog.promepla.com/promepla-component/ecb15992 / https://catalog.promepla.com/uploads/medias/plan-ecb15992.pdf,
Pressure sensor (for Paw),$32.00 ,https://www.mouser.com/ProductDetail/Amphenol-All-Sensors/1-PSI-D1-4V-MINI?qs=BhOZL0NmoSxcjJYCCg1Awg%3D%3D,
Tubing connectors,$14.00 ,https://www.rcmedical.com/viewProduct.cfm?productID=591,
Flow sensor,$4.76 ,https://jakenmedical.com/supplies-accessories/disposable-d-lite-sensor-50-box-896952/,
Luer plug,$2.60 ,https://www.mcmaster.com/51525K311,
Luer lock connector for D-Lite,$22.68 ,https://www.mcmaster.com/5194K32/,
Differential pressure sensor for flow,$52.70 ,https://www.mouser.com/ProductDetail/Amphenol-All-Sensors/5-INCH-D2-P4V-MINI?qs=%2Fha2pyFaduhsP4sNEBOe%2FQFZkD803XhnXMJBb3vmG3Pgxr%2F1EbJo8%252BLI9cfIY1%2Fz,
"3/4"" NPT Connector (male/male) ",$3.06 ,https://www.mcmaster.com/46825K31/,
Exp solenoid valve,$115.10 ,https://www.smcpneumatics.com/VXZ250HGB.html,
Exp solenoid brackets,$22.44 ,https://www.mcmaster.com/3136N157/,
,,,
Framing/Structural Components,,,
80/20 (x4),$42.28 ,https://www.mcmaster.com/47065T101,
80/20 gusset bracket (x18),$117.72 ,https://www.mcmaster.com/47065T663,
80/20 rail (x6),$35.04 ,https://www.mcmaster.com/47065T101,
"80/20 button head nuts (packs of 25, x2)",$11.24 ,https://www.mcmaster.com/47065T905/,
"Button-head hex screws, pack of 50",$6.03 ,https://www.mcmaster.com/92949A833/,
"Socket head screw, pack of 100",$9.66 ,https://www.mcmaster.com/91292A111/,
"Button head screws (long), pack of 10",$2.65 ,https://www.mcmaster.com/92949A275/,
"Button head screws (short), pack of 25",$8.40 ,https://www.mcmaster.com/92095A239/,
HDPE sheeting,$21.28 ,https://www.mcmaster.com/8619K423,
Lifting handle,$28.76 ,https://www.mcmaster.com/5190A21/,
Screws for lifting handle,$9.69 ,https://www.mcmaster.com/91274A164/,
Leveling mount (4 feet),$1.89 ,https://www.mcmaster.com/23015T82/,
Nuts for leveling mount,$4.41 ,https://www.mcmaster.com/91847A029/,
PETG for 3d printing,$30.00 ,,
,,Structural,$329 
Electronics,,,
Standoffs,$3.76 ,https://www.mouser.com/ProductDetail/Keystone-Electronics/24424?qs=%2Fha2pyFadujGjYnOBX3ZIG5%252BNlfnctDXUaVF01IeI1E%3D,
Meanwell DC Power Supply,$30.66 ,https://www.mouser.com/ProductDetail/MEAN-WELL/NDR-120-24?qs=sGAEpiMZZMvkjJSSRowFE%252BMaPtHpNQit89EjeOStv9CBsXX2JvUmCQ%3D%3D,
DIN Rail,$7.74 ,https://www.mcmaster.com/8961K17/,
DIN washers,$13.94 ,https://www.mcmaster.com/98025A029/,
Sensor board (excluding pressure sensors),,,
2-layer PCB,$99.00 ,https://www.4pcb.com/pcb-prototype-2-4-layer-boards-specials.html,
12-bit ADC,$10.00 ,https://www.mouser.com/ProductDetail/Adafruit/1083?qs=GURawfaeGuCmI2li4B6pKg%3D%3D,
Voltage splitter U1,$2.00 ,https://www.digikey.com/product-detail/en/texas-instruments/TL7660CP/296-21857-5-ND/1629031,
Instrumentation amplifier U2,$4.00 ,https://www.digikey.com/product-detail/en/texas-instruments/INA126PA/INA126PA-ND/300992,
"R3, sensor",$0.00 ,,
40 pin Pi header J1,$3.00 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/1979/1528-1783-ND/6238003,
4x1 header J2,$5.00 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/4150/1528-2922-ND/10123801,
2x1 header J3,$5.00 ,,
Oxygen sensor cable (J4),$2.00 ,https://www.coolerguys.com/products/3-pin-fan-cable-extension-12-thru-72-inches?variant=17666421509,
330 Ohm resistor R1,$1.00 ,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT330R/CF14JT330RCT-ND/1830338,
"Capacitors C1,C2",$1.00 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ECA-1EM100B/P19522CT-ND/6109420,
Actuator board,,,
2-layer PCB,$99.00 ,https://www.4pcb.com/pcb-prototype-2-4-layer-boards-specials.html,
5V DC/DC Converter,$20.00 ,https://www.mouser.com/ProductDetail/CUI-Inc/PDQE15-Q24-S5-D?qs=%2Fha2pyFaduiL94u0Ef2I7K4U1Mc9B6IPlz0S4%252BeNn6w9pBF%2FNnZWZTmWI4mUuuL4,
Darlington array U1,$2.00 ,https://www.mouser.com/ProductDetail/Texas-Instruments/ULN2003AN?qs=FOlmdCx%252BAA1wYQ1G8c8hpQ%3D%3D,
40 pin Pi header J1,$3.00 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/1979/1528-1783-ND/6238003,
"Screw terminals J2, J3, J4",$4.00 ,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/282837-2/A113320-ND/2187973,
2x1 header J5,$5.00 ,,
Capacitor C1 ,$1.00 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEU-FR1C101B/P15330CT-ND/3072210,
"Capacitors C2,C3",$1.00 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEA-GA1H6R8/P14509-ND/2504598,
Speaker,$20.00 ,https://www.amazon.com/Z50-smartphone-tablet-laptop-Grey/dp/B00EZ9XLF8/ref=sr_1_1?dchild=1&hvadid=78408975043567&hvbmt=be&hvdev=c&hvqmt=e&keywords=logitech+z50&qid=1595253882&sr=8-1&tag=mh0b-20,
,,Electronics,$347 
,"$1,753.57 ",,
,,,
Specialized Tools,,,
M16 tap,$47.00 ,https://www.mcmaster.com/26015A236,
"1/4"" NPT tap ",$25.00 ,https://www.mcmaster.com/2525A173-2525A173,
"3/4"" NPT tap ",$71.00 ,https://www.mcmaster.com/2525A176/,
"1/4""-28 tap",$6.99 ,https://www.mcmaster.com/26955A88/,
Ingmar QuickLung Test Bellows,"$1,500.00 ",https://www.ingmarmed.com/product/quicklung/,
,,,
Not on the List:,,,
PETG for 3d printing,$30.00 ,,
Commercial PEEP valves ,,,
Adult Test Lung,,https://www.ebay.com/itm/Adult-Test-Lung-LNG600P-Newport-Medical-Instruments-a-division-of-Covidien/264679192553?hash=item3da01bf7e9:g:9FEAAOSw~4hbtoaY&fbclid=IwAR35qedvGn5JODcB-F5Kurw0ZH11KOdH6UpmUypnj2lWZcv5GzIfVlEDSaw,
Air compressor for initial testing,,https://www.dewalt.com/products/storage-and-gear/air-compressors/16-hp-continuous-225-psi-45-gallon-compressor/d55146,